Date,Confirmed
01-Dec-21,9875
02-Dec-21,9191
03-Dec-21,9128
04-Dec-21,8912
05-Dec-21,8413
06-Dec-21,6648
07-Dec-21,8590
08-Dec-21,9303
09-Dec-21,8614
10-Dec-21,7971
11-Dec-21,7749
12-Dec-21,7545
13-Dec-21,5547
14-Dec-21,7114
15-Dec-21,7996
16-Dec-21,7403
17-Dec-21,7158
18-Dec-21,7079
19-Dec-21,6650
20-Dec-21,5105
21-Dec-21,6378
22-Dec-21,7470
23-Dec-21,6767
24-Dec-21,7116
25-Dec-21,7161
26-Dec-21,6538
27-Dec-21,6342
28-Dec-21,9236
29-Dec-21,13167
30-Dec-21,16727
31-Dec-21,22775
01-Jan-22,27878
02-Jan-22,33716
03-Jan-22,37448
04-Jan-22,58563
05-Jan-22,91583
06-Jan-22,117879
07-Jan-22,142645
08-Jan-22,160620
09-Jan-22,181263
10-Jan-22,169376
11-Jan-22,197128
12-Jan-22,248751
13-Jan-22,251660
14-Jan-22,269767
15-Jan-22,267857
16-Jan-22,258175
17-Jan-22,237696
18-Jan-22,283723
19-Jan-22,316848
20-Jan-22,347041
21-Jan-22,336876
22-Jan-22,333309
23-Jan-22,305865
24-Jan-22,252957
25-Jan-22,288113
26-Jan-22,285228
27-Jan-22,249973
28-Jan-22,235369
29-Jan-22,235077
30-Jan-22,209436
31-Jan-22,165558
01-Feb-22,161989
02-Feb-22,173082
03-Feb-22,148073
04-Feb-22,128166
05-Feb-22,107048
06-Feb-22,84391
07-Feb-22,66063
08-Feb-22,71274
09-Feb-22,66924
10-Feb-22,58350
