Date,Confirmed
01-May-21,2226
02-May-21,1819
03-May-21,1429
04-May-21,1515
05-May-21,2082
06-May-21,2548
07-May-21,2565
08-May-21,2323
09-May-21,1977
10-May-21,1605
11-May-21,2302
12-May-21,2803
13-May-21,2328
14-May-21,2330
15-May-21,2180
16-May-21,1929
17-May-21,1624
18-May-21,1914
19-May-21,2852
20-May-21,2809
21-May-21,2805
22-May-21,2508
23-May-21,2364
24-May-21,1995
25-May-21,2321
26-May-21,3360
27-May-21,3418
28-May-21,3917
29-May-21,3739
30-May-21,3588
31-May-21,2997
01-Jun-21,3158
02-Jun-21,3891
03-Jun-21,5420
04-Jun-21,6160
05-Jun-21,6249
06-Jun-21,5847
07-Jun-21,4722
08-Jun-21,5523
09-Jun-21,7937
10-Jun-21,7882
11-Jun-21,8197
12-Jun-21,8029
13-Jun-21,7606
14-Jun-21,6274
15-Jun-21,7128
16-Jun-21,10351
17-Jun-21,10785
18-Jun-21,11038
19-Jun-21,11091
20-Jun-21,10312
21-Jun-21,8437
22-Jun-21,10069
23-Jun-21,16269
24-Jun-21,17358
25-Jun-21,18307
26-Jun-21,18682
27-Jun-21,18148
28-Jun-21,16276
29-Jun-21,18490
30-Jun-21,28390
01-Jul-21,28155
02-Jul-21,28883
03-Jul-21,28755
04-Jul-21,26306
05-Jul-21,24019
06-Jul-21,25139
07-Jul-21,34866
08-Jul-21,36028
09-Jul-21,38569
10-Jul-21,33980
11-Jul-21,32779
12-Jul-21,28361
13-Jul-21,30490
14-Jul-21,44487
15-Jul-21,47676
16-Jul-21,54888
17-Jul-21,61978
18-Jul-21,55241
19-Jul-21,38463
20-Jul-21,36168
21-Jul-21,47887
22-Jul-21,39852
23-Jul-21,35524
24-Jul-21,31260
25-Jul-21,27752
26-Jul-21,22838
27-Jul-21,22161
28-Jul-21,29963
29-Jul-21,29560
30-Jul-21,30227
31-Jul-21,28414
01-Aug-21,24745
02-Aug-21,20567
03-Aug-21,20892
04-Aug-21,29826
05-Aug-21,30429
06-Aug-21,32320
07-Aug-21,31647
08-Aug-21,28049
09-Aug-21,22558
10-Aug-21,22867
11-Aug-21,32136
12-Aug-21,31496
13-Aug-21,33327
14-Aug-21,31708
